code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb_x,mktcap,nmc,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb_y,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603058 ,永吉股份,-1.706,11.52,11.47,11.6,11.37,11.72,8310504.0,3.72117,95346157.0,51.752,5.234,482773.7088,257276.6208,广告包装,贵州,40.29,2.23,4.19,99801.67,60284.78,21439.52,14231.17,0.34,0.21,2.2,5.23,20161223.0,29166.78,0.7,41.0,54.63,39.99,28.72,17901.0
603056 ,德邦股份,-0.428,18.62,18.63,18.73,18.41,18.7,2323000.0,1.06727,43189950.0,29.094,4.728,1787520.0,405280.78801,仓储物流,上海,29.21,2.18,9.6,858483.88,592512.56,159134.55,31860.35,0.33,0.478,3.94,4.73,20180116.0,228894.95,2.38,9.6,28.32,14.2,2.86,28186.0
603055 ,台华新材,0.799,12.61,12.52,12.81,12.45,12.51,3501005.0,3.47406,44368244.0,17.041,2.761,690523.6,127078.00638,纺织,浙江,15.29,1.01,5.48,367353.53,196300.69,132431.77,72129.5,1.32,0.619,4.57,2.76,20170921.0,121089.56,2.21,12.04,24.62,27.29,14.98,18295.0
603050 ,科林电气,1.512,14.77,14.61,14.98,14.56,14.55,5405220.0,6.73007,79921455.0,30.143,2.398,239636.6035,118624.5165,电气设备,河北,42.51,0.8,1.62,186057.44,140804.56,18198.48,48845.5,3.01,0.261,6.16,2.4,20170414.0,33617.07,2.07,33.08,48.62,28.19,5.85,17653.0
603045 ,福达合金,0.317,31.6,31.54,31.96,30.95,31.5,2854018.0,11.61114,90047702.0,42.542,4.154,310628.0,77672.8,电气设备,浙江,62.72,0.25,0.98,125362.07,90242.9,24297.5,28516.68,2.9,0.44,7.61,4.15,20180517.0,31143.68,3.17,2.05,-6.81,15.19,3.92,16135.0
603043 ,广州酒家,-7.527,30.59,31.08,31.08,29.84,33.08,14792038.0,11.78581,452422546.0,34.061,6.641,1235824.326856,383926.598216,食品,广东,31.12,1.26,4.04,291700.53,231064.5,32680.72,56473.0,1.4,0.737,4.61,6.64,20170627.0,77337.15,1.91,19.15,49.88,54.93,14.79,10196.0
603042 ,华脉科技,2.277,15.72,15.65,15.97,15.45,15.37,5213400.0,5.1603200000000005,81974074.0,26.039,2.565,217989.24,158816.915184,通信设备,江苏,0.0,1.01,1.39,209182.67,140869.52,15605.98,51407.68,3.71,-0.03,6.13,2.57,20170602.0,22645.82,1.63,12.91,-106.93,21.22,-0.46,17188.0
603041 ,美思德,-0.994,16.93,17.0,17.09,16.7,17.1,1530141.0,3.28886,25844137.0,31.352,2.357,170904.964,78766.825,化工原料,江苏,40.85,0.47,1.01,81701.17,60118.57,13299.17,32507.03,3.22,0.311,7.18,2.36,20170330.0,27276.35,2.7,-2.69,-25.57,26.07,13.6,9974.0
603040 ,新坐标,-0.492,30.32,30.49,30.7,30.15,30.47,940630.0,2.96157,28568585.0,16.568,3.689,241065.49688,96300.067552,机械基件,浙江,22.9,0.32,0.8,73210.82,46430.0,15843.94,26500.72,3.33,1.01,8.23,3.68,20170209.0,29916.73,3.76,16.09,7.51,64.19,35.98,6947.0
603039 ,泛微网络,1.526,97.83,96.34,98.88,95.58,96.36,372642.0,0.9339200000000001,36528388.0,73.556,15.158,1002846.447036,390349.5264,软件服务,上海,127.03,0.4,1.03,147799.92,110784.15,12711.53,27072.65,2.64,0.6,6.45,15.16,20170113.0,33655.82,3.28,38.82,21.34,95.32,9.51,3881.0
