code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb_x,mktcap,nmc,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb_y,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603999 ,读者传媒,3.12,6.61,6.4,6.78,6.38,6.41,7231357.0,1.2554400000000001,47602796.0,50.458,2.242,380736.0,380736.0,出版业,甘肃,89.38,5.76,5.76,204549.59,125354.67,22742.56,28048.4,0.49,0.054000000000000006,2.95,2.17,20151210.0,73841.95,1.28,-10.42,-41.8,20.66,6.36,36477.0
603998 ,方盛制药,0.942,6.43,6.38,6.48,6.34,6.37,3388200.0,0.7968500000000001,21727475.0,45.929,2.646,280748.40896,273401.49096,中成药,湖南,34.24,4.25,4.37,167114.81,75463.47,38969.55,13916.74,0.32,0.14,2.43,2.62,20141205.0,44649.76,1.02,53.72,-19.23,74.07,7.64,20425.0
603997 ,继峰股份,0.418,9.62,9.56,9.65,9.51,9.58,1636596.0,0.25978,15673852.0,20.18,3.292,615115.4984,606060.0,汽车配件,浙江,20.26,6.3,6.39,253367.02,181259.75,48905.89,25971.31,0.41,0.48,2.92,3.28,20150302.0,86287.99,1.35,13.11,3.26,33.16,14.06,20200.0
603996 ,中新科技,-0.626,11.12,11.21,11.29,11.07,11.19,3959606.0,1.31921,44166601.0,22.694,2.125,333766.8,333766.8,家用电器,浙江,28.21,3.0,3.0,492129.5,429274.91,51519.3,55722.03,1.86,0.298,5.23,2.14,20151222.0,63321.55,2.11,38.21,27.56,10.07,1.57,26053.0
603993 ,洛阳钼业,0.41,4.9,4.88,4.91,4.85,4.88,82522079.0,0.46713000000000005,403092590.0,35.0,2.564,10583627.88567,8656228.56567,小金属,河南,19.11,176.66,215.99,10456798.0,4073094.0,2386923.5,2758279.5,1.28,0.192,1.91,2.55,20121009.0,838140.63,0.39,13.43,155.92,40.24,20.6,336265.0
603991 ,至正股份,-0.498,21.99,21.93,22.18,21.77,22.1,539200.0,1.3126,11845666.0,43.118,3.332,163902.460602,90332.540682,塑料,上海,43.34,0.41,0.75,81741.49,54436.96,22376.88,24762.82,3.32,0.51,6.6,3.35,20170308.0,15199.12,2.04,33.3,0.13,23.07,6.67,8230.0
603990 ,麦迪科技,-0.124,48.43,48.69,49.48,48.0,48.49,264446.0,0.43875000000000003,12932603.0,75.672,9.039,390514.48169,291897.296,软件服务,江苏,256.66,0.6,0.81,65030.3,38637.85,21198.32,17160.22,2.13,0.142,5.34,9.08,20161208.0,17924.31,2.22,-3.68,-60.95,75.01,7.12,5034.0
603989 ,艾华集团,0.187,21.39,21.26,21.77,21.26,21.35,1122725.0,0.28788,24150930.0,22.052,4.588,834213.640578,834213.640578,元器件,湖南,27.77,3.9,3.9,319598.31,226293.84,76649.84,83732.28,2.15,0.58,5.29,4.04,20150515.0,46165.65,1.18,27.19,0.39,30.6,14.01,12645.0
603988 ,中电电机,-0.636,12.5,12.6,12.69,12.4,12.58,2268878.0,0.9646600000000001,28410857.0,44.643,4.438,294000.0,294000.0,电气设备,江苏,57.14,2.35,2.35,89817.02,73259.06,4758.22,17284.25,0.73,0.165,2.82,4.47,20141104.0,22441.3,0.95,54.48,61.1,33.75,12.05,20713.0
603987 ,康德莱,0.262,7.64,7.62,7.69,7.55,7.62,2369490.0,0.90805,18078001.0,20.105,2.602,337389.276,199360.92568,医疗保健,上海,22.28,2.66,4.42,173505.22,85881.3,69665.24,37089.26,0.84,0.257,2.94,2.6,20161121.0,44014.85,1.0,14.12,25.32,34.15,10.59,25046.0
